,store_id,attribute_id,attribute_type,attribute_int_val,attribute_str_val,attribute_float_val
8928,659,9,string,,MT,
8933,423,9,string,,UT,
8938,468,9,string,,NV,
8942,384,9,string,,WY,
8985,428,9,string,,UT,
8995,366,9,string,,ID,
9025,572,9,string,,UT,
9038,566,9,string,,WY,
9043,480,9,string,,WY,
9048,431,9,string,,ID,
9053,477,9,string,,ID,
9063,558,9,string,,UT,
9068,615,9,string,,ID,
9099,543,9,string,,ID,
9104,601,9,string,,ID,
9109,613,9,string,,UT,
9114,523,9,string,,ID,
9129,661,9,string,,ID,
9134,511,9,string,,ID,
9139,539,9,string,,ID,
9159,622,9,string,,ID,
9164,400,9,string,,UT,
9178,518,9,string,,UT,
9183,350,9,string,,ID,
9193,643,9,string,,WY,
9207,467,9,string,,UT,
9221,570,9,string,,ID,
9225,484,9,string,,UT,
9230,655,9,string,,UT,
9234,399,9,string,,UT,
9239,339,9,string,,UT,
9244,500,9,string,,UT,
9254,413,9,string,,UT,
9259,489,9,string,,UT,
9283,565,9,string,,ID,
9293,603,9,string,,ID,
9298,513,9,string,,UT,
9302,355,9,string,,UT,
9312,530,9,string,,UT,
9332,535,9,string,,UT,
9337,556,9,string,,NV,
9354,527,9,string,,WY,
9364,381,9,string,,AZ,
9368,573,9,string,,WY,
9373,347,9,string,,CO,
9378,426,9,string,,WY,
9393,383,9,string,,UT,
9398,627,9,string,,UT,
9407,617,9,string,,UT,
9421,447,9,string,,UT,
9431,633,9,string,,AZ,
9441,545,9,string,,AZ,
9451,404,9,string,,AZ,
9486,562,9,string,,UT,
9491,474,9,string,,UT,
9501,649,9,string,,UT,
9511,606,9,string,,UT,
9531,492,9,string,,UT,
9536,656,9,string,,UT,
9551,462,9,string,,UT,
9556,646,9,string,,UT,
9571,583,9,string,,UT,
9581,528,9,string,,UT,
9586,652,9,string,,UT,
9596,466,9,string,,UT,
9601,432,9,string,,UT,
9611,418,9,string,,ID,
9616,389,9,string,,WY,
9631,473,9,string,,ID,
9646,365,9,string,,AZ,
9656,596,9,string,,WY,
9661,628,9,string,,ID,
9671,514,9,string,,AZ,
9676,597,9,string,,UT,
9686,479,9,string,,UT,
9696,372,9,string,,UT,
9706,579,9,string,,WY,
9711,416,9,string,,ID,
9736,496,9,string,,UT,
9746,593,9,string,,UT,
9766,589,9,string,,UT,
9771,435,9,string,,UT,
9781,666,9,string,,ID,
9801,664,9,string,,AZ,
9806,341,9,string,,AZ,
9811,548,9,string,,WY,
9821,491,9,string,,WY,
9846,397,9,string,,UT,
9851,640,9,string,,CO,
9856,540,9,string,,AZ,
9861,636,9,string,,UT,
9871,587,9,string,,ID,
9876,410,9,string,,UT,
9881,483,9,string,,NV,
9886,626,9,string,,ID,
9901,594,9,string,,UT,
9906,521,9,string,,UT,
9926,475,9,string,,CO,
9931,555,9,string,,AZ,
9936,592,9,string,,UT,
9941,363,9,string,,NV,
9951,536,9,string,,UT,
9956,444,9,string,,CO,
9960,567,9,string,,ID,
9965,506,9,string,,WY,
9980,455,9,string,,UT,
9990,559,9,string,,NV,
10002,379,9,string,,NV,
10012,342,9,string,,OR,
10022,595,9,string,,WA,
10032,598,9,string,,NV,
10037,354,9,string,,UT,
10047,673,9,string,,WA,
10052,436,9,string,,WA,
10057,445,9,string,,UT,
10077,550,9,string,,NV,
10082,642,9,string,,ID,
10092,665,9,string,,UT,
10097,560,9,string,,NV,
10132,510,9,string,,UT,
10137,525,9,string,,ID,
10152,569,9,string,,UT,
10157,392,9,string,,NV,
10162,541,9,string,,WY,
10172,420,9,string,,AZ,
10182,557,9,string,,CO,
10197,624,9,string,,UT,
10202,637,9,string,,ID,
10207,348,9,string,,UT,
10212,644,9,string,,UT,
10222,353,9,string,,ID,
10232,516,9,string,,UT,
10263,519,9,string,,NE,
10268,625,9,string,,ID,
10273,452,9,string,,ID,
10283,547,9,string,,UT,
10293,620,9,string,,NV,
10308,394,9,string,,ID,
10313,417,9,string,,UT,
10318,623,9,string,,UT,
10333,485,9,string,,ID,
10338,478,9,string,,UT,
10348,503,9,string,,UT,
10353,345,9,string,,UT,
10358,360,9,string,,CO,
10372,515,9,string,,WY,
10384,401,9,string,,UT,
10414,340,9,string,,UT,
10423,388,9,string,,UT,
10428,645,9,string,,UT,
10433,499,9,string,,UT,
10438,461,9,string,,CO,
10455,407,9,string,,WY,
10469,657,9,string,,UT,
10474,568,9,string,,ID,
10479,427,9,string,,NV,
10484,351,9,string,,UT,
10489,488,9,string,,UT,
10499,610,9,string,,WY,
10504,588,9,string,,WA,
10511,641,9,string,,WA,
10536,487,9,string,,NV,
10541,512,9,string,,ID,
10582,414,9,string,,ID,
10587,338,9,string,,CO,
10597,358,9,string,,SD,
10610,599,9,string,,UT,
10615,349,9,string,,CO,
